464 31.6
667 13.6
704 14.8
755 12.5
803 10.9
856 12.6
900 8.02
980 9.05
1175    10.9
1245    13.3
1375    14.6
1400    13.5
1480    16.1
1510    11.1
1578    11.7
1623    9.99
1733    17.2
1800    19.6
1900    20.2
1980    18.3
2070    20.6
2160    12.3
2260    14.3
2320    16.3
2400    19.1
2448    17.2
2470    20.9
2600    18.5
2638    21.3
2775    23.7
2823    26.8
2850    12.6
2866    26.4
2916    23.3
2936    29.4
3300    28
3400    31.4
3460    35.6
3560    30.5
3600    27.8
3700    37.1
3800    25.9
3850    38.9
3900    34.7
4068    40.3
4133    44.3
4174    36.9
4232    31.4
4280    41.2
4350    45.5
4404    46.6
4461    55.9
4578    52.3
4686    44.2
4712    49.7
411 26.9
441 32
609 16.2
730 14.3
735 12.4
780 18.9
894 13.5
947 17.7
1035    11.7
1111    13.5
1217    13.9
1270    16.2
1417    17.2
1508    11.3
1542    12.6
1641    14.1
1711    17.8
1867    13.7
1955    20.3
2062    19.4
2105    19.6
2133    16.2
2262    18
2327    19.6
2348    21.5
2444    20.2
2481    24.6
2698    21.7
2781    18.9
2836    25.5
2935    19.9
3048    26.8
3103    26.7
3157    22.7
3190    28.2
3214    17.7
3257    31.4
3303    26.2
3448    37.3
3527    28.3
3642    33.2
3697    24.6
3757    36.9
3776    34.2
3851    31.6
4068    40.3
4133    44.3
4174    36.9
4232    31.4
4280    41.2
4350    45.5
4404    46.6
4461    55.9
4522    43.5
4578    52.3
4630    48.9
4653    40.7
4686    44.2
4702    47.7
4712    49.7

